3,Mathematical logic foundations,,
3.4.,,General logic,
3.4.1.,,,Probability inductive logic
3.4.2.,,,Many-valued logic
3.4.3.,,,Fuzzy logic logic vagueness
3.5.,,Set ,
3.5.1.,,,Partition relations
3.5.2.,,,Ordered sets
3.5.3.,,, fuzzy sets
3.5.4.,,,Applications set 
4,Combinatorics,,
4.3.,,Designs configurations,
4.3.1.,,,Combinatorial matrices incidence Hadamard
4.3.2.,,,Combinatorial finite geometries 
4.3.3.,,,Combinatorial matroids geometric lattices
4.3.4.,,,Combinatorial packing covering
4.3.5.,,,Combinatorial tessellation tiling 
4.4.,,Graph ,
4.4.1.,,,Trees
4.4.2.,,,Vertex degrees
4.4.3.,,,Graphical indices
4.4.4.,,,Planar graphs
4.4.5.,,,Distance graphs
4.4.6.,,,Coloring graphs hypergraphs
4.4.7.,,,Perfect graphs
4.4.8.,,,Directed graphs digraphs
4.4.9.,,,Flows graphs
4.4.10.,,,Signed weighted graphs
4.4.11.,,,Extremal graph 
4.4.12.,,,Paths cycles
4.4.13.,,,Connectivity
4.4.14.,,,Density toughness
4.4.15.,,,Graphs linear algebra matrices eigenvalues
4.4.16.,,,Graph designs isomorphic decomposition
4.4.17.,,,Isomorphism
4.4.18.,,,Graph intersection representations
4.4.19.,,,Hypergraphs
4.4.20.,,,Vertex subsets dominating sets independent sets cliques
4.4.21.,,,Edge subsets factorization matching partitioning covering packing
4.4.23.,,,Structural characterization families graphs
4.4.24.,,,Graph operations line graphs products
4.4.25.,,,Graph labelling graceful graphs bandwidth
4.4.26.,,,Random graphs
4.4.27.,,,Random walks on graphs
4.4.28.,,,Small world graphs complex networks
4.4.29.,,,Graph 
4.4.31.,,,Chemical graph 
5,Order lattices ordered algebraic structures,,
5.5.,,Lattices,
5.6.,,Modular lattices complemented lattices,
5.7.,,Distributive lattices,
5.8.,,Boolean functions
11,Linear multilinear algebra matrix ,,
11.3.,,Basic linear algebra,
11.3.1.,,,Vector spaces linear dependence rank lineability
11.3.2.,,,Linear transformations semilinear transformations
11.3.3.,,,Linear equations linear algebraic 
11.3.4.,,, matrix inversion generalized inverses
11.3.5.,,,Applications generalized inverses
11.3.6.,,,Conditioning matrices
11.3.7.,,,Determinants permanents traces special matrix functions
11.3.8.,,,Matrix exponential similar functions matrices
11.3.9.,,,Eigenvalues singular values eigenvectors
11.3.11.,,,Canonical forms reductions classification
11.3.13.,,,Factorization matrices
11.3.14.,,,Matrix equations identities
11.3.16.,,,Inverse linear algebra
11.3.18.,,,Linear inequalities matrices
11.3.19.,,,Inequalities involving eigenvalues eigenvectors
11.3.21.,,,Norms matrices
11.3.22.,,,Quadratic bilinear forms
11.3.23.,,,Multilinear algebra tensor calculus
11.3.24.,,,Vector tensor algebra
11.3.25.,,,Grassmann algebras
11.3.27.,,,Max-plus algebras
11.4.,,Special matrices,
