1,General and overarching topics collections,,
2,History and biography,,
3,Mathematical logic and foundations,,
3.1.,,Software source code for problems pertaining to mathematical logic and foundations,
3.2.,,Computational methods for problems pertaining to mathematical logic and foundations,
3.3.,,Research data for problems pertaining to mathematical logic and foundations,
3.4.,,General logic,
3.4.1.,,,Probability and inductive logic
3.4.2.,,,Many-valued logic
3.4.3.,,,Fuzzy logic logic of vagueness
3.4.4.,,,Logic of natural languages
3.4.5.,,,Logic in computer science
3.5.,,Set theory,
3.5.1.,,,Partition relations
3.5.2.,,,Ordered sets and their cofinalities pcf theory
3.5.3.,,,Theory of fuzzy sets
3.5.4.,,,Applications of set theory
4,Combinatorics,,
4.1.,,Computational methods for problems pertaining to combinatorics,
4.2.,,Research data for problems pertaining to combinatorics,
4.3.,,Designs and configurations,
4.3.1.,,,Combinatorial aspects of matrices incidence Hadamard
4.3.2.,,,Combinatorial aspects of finite geometries 
4.3.3.,,,Combinatorial aspects of matroids and geometric lattices
4.3.4.,,,Combinatorial aspects of packing and covering
4.3.5.,,,Combinatorial aspects of tessellation and tiling problems
4.4.,,Graph theory,
4.4.1.,,,Trees
4.4.2.,,,Vertex degrees
4.4.3.,,,Graphical indices Wiener index Zagreb index Randic index
4.4.4.,,,Planar graphs geometric and topological aspects of graph theory
4.4.5.,,,Distance in graphs
4.4.6.,,,Coloring of graphs and hypergraphs
4.4.7.,,,Perfect graphs
4.4.8.,,,Directed graphs digraphs tournaments
4.4.9.,,,Flows in graphs
4.4.10.,,,Signed and weighted graphs
4.4.11.,,,Extremal problems in graph theory
4.4.12.,,,Paths and cycles
4.4.13.,,,Connectivity
4.4.14.,,,Density toughness
4.4.15.,,,Graphs and linear algebra matrices eigenvalues
4.4.16.,,,Graph designs and isomorphic decomposition
4.4.17.,,,Isomorphism problems in graph theory reconstruction conjecture and homomorphisms subgraph embedding
4.4.18.,,,Graph representations geometric and intersection representations
4.4.19.,,,Hypergraphs
4.4.20.,,,Vertex subsets with special properties dominating sets independent sets cliques
4.4.21.,,,Edge subsets with special properties factorization matching partitioning covering and packing
4.4.22.,,,Fractional graph theory fuzzy graph theory
4.4.23.,,,Structural characterization of families of graphs
4.4.24.,,,Graph operations line graphs products
4.4.25.,,,Graph labelling graceful graphs bandwidth
4.4.26.,,,Random graphs graph-theoretic aspects
4.4.27.,,,Random walks on graphs
4.4.28.,,,Small world graphs complex networks graph-theoretic aspects
4.4.29.,,,Graph algorithms graph-theoretic aspects
4.4.30.,,,Applications of graph theory
4.4.31.,,,Chemical graph theory
5,Order lattices ordered algebraic structures,,
5.1.,,Software source code for problems pertaining to ordered structures,
5.2.,,Computational methods for problems pertaining to ordered structures,
5.3.,,Research data for problems pertaining to ordered structures,
5.4.,,Ordered sets,
5.4.1.,,,Total orders
5.4.2.,,,Partial orders general
5.4.3.,,,Combinatorics of partially ordered sets
5.4.4.,,,Algebraic aspects of posets
5.4.5.,,,Semilattices
5.4.6.,,,Galois correspondences closure operators in relation to ordered sets
5.4.7.,,,Generalizations of ordered sets
5.5.,,Lattices,
5.5.1.,,,Representation theory of lattices
5.5.2.,,,Varieties of lattices
5.5.3.,,,Complete lattices completions
5.5.4.,,,Free lattices projective lattices word problems
5.5.5.,,,Generalizations of lattices
5.6.,,Modular lattices complemented lattices,
5.6.1.,,,Modular lattices Desarguesian lattices
5.6.2.,,,Semimodular lattices geometric lattices
5.7.,,Distributive lattices,
5.7.1.,,,Structure and representation theory of distributive lattices
5.7.2.,,,Complete distributivity
5.7.3.,,,Fuzzy lattices soft algebras and related topics
5.8.,,Boolean algebras Boolean rings,
5.8.1.,,,Boolean functions
6,General algebraic systems,,
7,Number theory,,
8,Field theory and polynomials,,
9,Commutative algebra,,
10,Algebraic geometry,,
11,Linear and multilinear algebra matrix theory,,
11.1.,,Software source code for problems pertaining to linear algebra,
11.2.,,Research data for problems pertaining to linear algebra,
11.3.,,Basic linear algebra,
11.3.1.,,,Vector spaces linear dependence rank lineability
11.3.2.,,,Linear transformations semilinear transformations
11.3.3.,,,Linear equations linear algebraic aspects
11.3.4.,,,Theory of matrix inversion and generalized inverses
11.3.5.,,,Applications of generalized inverses
11.3.6.,,,Conditioning of matrices
11.3.7.,,,Determinants permanents traces other special matrix functions
11.3.8.,,,Matrix exponential and similar functions of matrices
11.3.9.,,,Eigenvalues singular values and eigenvectors
11.3.10.,,,Diagonalization Jordan forms
11.3.11.,,,Canonical forms reductions classification
11.3.12.,,,Matrix pencils
