index	name	u	p	V	G	H	L
	root	1.0	3.085	37.656	2. mathematics of computing; 4.1. visualization; 1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.2.2. data provenance; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent; 3.2. information systems applications; 3.3. world wide web; 3.1.1. database design and models; 3.1.2. data structures; 3.1.3. database management system engines; 3.1.4. query languages; 3.1.5.1. deduplication; 3.1.5.2.  transformation and loading; 3.1.5.4. data cleaning; 3.1.5.5. wrappers; 3.1.5.6. mediators and data integration; 3.1.5.7. entity resolution; 3.1.5.8. data warehouses; 3.1.5.9. federated databases; 3.4.1. document representation; 3.4.2. information retrieval query processing; 3.4.3. users and interactive retrieval; 3.4.4. retrieval models and ranking; 3.4.6. evaluation of retrieval results; 3.4.7. specialized information retrieval; 3.4.5.1. question answering; 3.4.5.2. document filtering; 3.4.5.3. recommender systems; 3.4.5.5. sentiment analysis; 3.4.5.6. expert search; 3.4.5.7. near-duplicate and plagiarism detection; 3.4.5.8. clustering and classification; 3.4.5.9. summarization; 3.4.5.10. business intelligence; 5.1.2. knowledge representation and reasoning; 5.1.1.3. machine translation; 5.1.1.4.  dialogue and pragmatics; 5.1.1.5. natural language generation; 5.1.1.6. speech recognition; 5.1.1.7. lexical semantics; 5.1.1.8. phonology; 5.1.1.9. language resources; 5.1.3.1. computer vision problems; 5.1.3.2.2. shape representations; 5.1.3.2.3. appearance and texture representations; 5.1.3.2.4. hierarchical representations; 5.2.2. learning settings; 5.2.4. machine learning algorithms; 5.2.5. cross-validation; 5.2.1.1. supervised learning; 5.2.1.2. unsupervised learning; 5.2.1.4. multi-task learning; 5.2.3.1. classification and regression trees; 5.2.3.3. neural networks; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.8. rule learning; 5.2.3.9. instance-based learning; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14 multiresolution; 5.2.3.2.1. kernel support vector machines; 5.2.3.2.3 kernel matrix; 5.2.3.2.4 kernel independent components; 5.2.3.2.5 kernel-based clustering; 5.2.3.7.1. non-negative matrix factorization; 5.2.3.7.2. factor analysis; 5.2.3.7.4. canonical correlation analysis; 5.2.3.7.6. latent dirichlet allocation; 5.2.3.7.8. independent component analysis; 5.2.3.7.9 nonlinear principal components; 5.2.3.7.10 multidimentional scaling; 5.2.3.7.3.2 sparse pca	1.1.1.4.2. gaussian processes; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.1. data exchange; 3.1.5.3. data exchange; 3.4.5.4. information extraction; 5.1.1.2. information extraction; 5.1.3.2.1. image representations; 5.2.1.3.4. multi-agent reinforcement learning; 5.2.1.3.5. adversarial learning; 5.2.3.2.2. gaussian processes; 5.2.3.7.3.1 2d pca	
1	theory of computation	0.578	1.037	12.472	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning; 1.1.2.2. data provenance; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent	1.1.1.4.2. gaussian processes; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.1. data exchange	
1.1.1	machine learning theory	0.478	0.744	8.901	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning	1.1.1.4.2. gaussian processes; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning	
1.1.1.1	sample complexity and generalization bounds	0.0	0	0			
1.1.1.10	models of learning	0.0	0	0			
1.1.1.11	query learning	0.0	0	0			
1.1.1.12	structured prediction	0.0	0	0			
1.1.1.13	reinforcement learning	0.389	0.493	1.166	1.1.1.13.1. sequential decision making; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.3. apprenticeship learning	1.1.1.13.4. multi-agent reinforcement learning; 1.1.1.13.5. adversarial learning	
1.1.1.13.1	sequential decision making	0.0	0	0			
1.1.1.13.2	inverse reinforcement learning	0.0	0	0			
